Date,Name,Year,Letterboxd URI,Rating
2023-11-05,Tag,2018,https://boxd.it/gh7Y,3
2023-11-05,BlacKkKlansman,2018,https://boxd.it/hxL8,4.5
2023-11-05,The Mask,1994,https://boxd.it/29rS,4
2023-11-05,The Muppets,2011,https://boxd.it/1zg,3
2023-11-06,Jumanji,1995,https://boxd.it/1ZLI,4
2023-11-10,School of Rock,2003,https://boxd.it/28xK,3.5
2023-11-12,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2023-11-12,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2023-11-12,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2023-11-12,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4.5
2023-11-13,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,4.5
2023-11-13,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,5
2023-11-17,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4.5
2023-12-02,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2023-12-02,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,5
2023-12-03,Beauty and the Beast,2017,https://boxd.it/ar0c,3
2023-12-09,The Polar Express,2004,https://boxd.it/23am,2.5
2023-12-15,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2023-12-17,Sky High,2005,https://boxd.it/1TNI,3
2023-12-21,The Boy and the Heron,2023,https://boxd.it/ipeM,4.5
2023-12-24,Circle,2015,https://boxd.it/b5So,3.5
2024-01-04,Dragon Ball Super: Broly,2018,https://boxd.it/iaWE,3.5
2024-01-04,Mystic River,2003,https://boxd.it/2aAG,4
2024-01-13,Oldboy,2003,https://boxd.it/29R2,5
2024-01-14,Predestination,2014,https://boxd.it/6bJM,3.5
2024-01-20,Free Guy,2021,https://boxd.it/k8dm,3
2024-02-05,Poor Things,2023,https://boxd.it/tNWU,3.5
2024-02-11,Saltburn,2023,https://boxd.it/z4eg,3.5
2024-02-17,Gravity,2013,https://boxd.it/GZY,3.5
2024-03-13,Kung Fu Panda 4,2024,https://boxd.it/CepE,1.5
2024-04-14,White Chicks,2004,https://boxd.it/1SpK,4
2024-04-20,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-04-21,Deadpool,2016,https://boxd.it/9fOC,3
2024-04-21,Weiner,2016,https://boxd.it/d4N2,3.5
2024-04-21,The Social Dilemma,2020,https://boxd.it/opQI,2.5
2024-04-23,Midnight Mass,2021,https://boxd.it/wvVA,3.5
2024-04-23,The Haunting of Hill House,2018,https://boxd.it/kfJ0,5
2024-04-23,The Haunting of Bly Manor,2020,https://boxd.it/rUdS,3
2024-05-21,Death at a Funeral,2010,https://boxd.it/1dem,3
2024-07-10,Inside Out 2,2024,https://boxd.it/CFrC,4
2024-07-15,Midsommar,2019,https://boxd.it/jhxe,5
2024-07-29,My Cousin Vinny,1992,https://boxd.it/1WpO,4.5
2024-07-31,Logan,2017,https://boxd.it/7Piy,4.5
2024-08-01,The Princess Bride,1987,https://boxd.it/26EY,4
2024-08-02,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2024-08-03,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2024-08-03,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2024-08-06,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2024-08-09,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,4
2024-08-10,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-08-11,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2024-08-15,Kung Fu Panda 2,2011,https://boxd.it/G36,5
2024-08-18,Death on the Nile,2022,https://boxd.it/ifpg,2
2024-08-23,Megamind,2010,https://boxd.it/16Sk,4
2024-08-23,"Girl, Interrupted",1999,https://boxd.it/25ds,5
2024-09-07,Halloween,1978,https://boxd.it/2wRu,1
2024-09-30,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2024-10-01,G-Force,2009,https://boxd.it/1ETc,1.5
2024-10-04,The Sound of Music,1965,https://boxd.it/1MLK,5
2024-10-07,The Flying Luna Clipper,1987,https://boxd.it/cI1U,3
2024-10-07,Chinatown,1974,https://boxd.it/29vU,4.5
2024-10-10,The Princess Diaries,2001,https://boxd.it/1XCO,4
2024-10-14,John Tucker Must Die,2006,https://boxd.it/1Z2S,4
2024-10-21,Dragon Ball Super: Super Hero,2022,https://boxd.it/mxII,4
2024-10-21,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,5
2024-10-22,Kite,1998,https://boxd.it/1G8M,3.5
2024-10-22,The Nun II,2023,https://boxd.it/AyRY,3
2024-10-22,Swing Girls,2004,https://boxd.it/1ag0,5
2024-10-23,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2024-10-23,Shanghai Knights,2003,https://boxd.it/228a,3
2024-10-24,Blue Valentine,2010,https://boxd.it/MxG,5
2024-10-24,Terrifier,2016,https://boxd.it/eRzg,1
2024-10-28,Scooby-Doo,2002,https://boxd.it/1YaQ,4.5
2024-11-10,Airplane!,1980,https://boxd.it/29yu,4
2024-11-10,Madagascar,2005,https://boxd.it/29dc,3.5
2024-11-15,Look Back,2024,https://boxd.it/LjA6,4
2024-11-18,Scary Movie 3,2003,https://boxd.it/24Be,3.5
2024-11-18,The Nun,2018,https://boxd.it/fBkw,2.5
2024-11-18,Mamma Mia!,2008,https://boxd.it/1Tnq,4
2024-11-18,The Addams Family: The Musical,2010,https://boxd.it/wd5G,4.5
2024-11-19,Scary Movie 2,2001,https://boxd.it/24Cw,2.5
2024-11-21,Sonic the Hedgehog,2020,https://boxd.it/gdK8,2.5
